"CU","SMU","par","mean","median","lwr","upr","n_eff","R_hat"
"Kitsumkalum","Skeena","Smsr.20",4137.75731,3337.93055,1676.25319,7757.45882,NA,NA
"Large Lakes","Skeena","Smsr.20",15577.42424,13267.53666,6685.65396,28002.84399,NA,NA
"Lower Nass","Nass","Smsr.20",3934.64116,2553.15679,696.95773,9279.48365,NA,NA
"Lower Skeena","Skeena","Smsr.20",2501.12875,2206.85148,1048.10392,4349.3151,NA,NA
"Middle Skeena","Skeena","Smsr.20",6328.13033,5323.3322,2703.46086,11328.42383,NA,NA
"Nass Aggregate","Nass","Smsr.20",9133.69811,7772.07767,4273.12797,15934.84191,NA,NA
"Skeena Aggregate","Skeena","Smsr.20",36911.12706,32944.77541,16191.90356,63727.28077,NA,NA
"Upper Nass","Nass","Smsr.20",7901.88041,6849.39509,3620.03986,13725.86501,NA,NA
"Upper Skeena","Skeena","Smsr.20",3140.37225,2224.94208,953.08683,6786.4609,NA,NA
"Zymoetz","Skeena","Smsr.20",1765.5912,1465.78468,723.23918,3287.38075,NA,NA
"Kitsumkalum","Skeena","Smsr.40",8275.51461,6675.8611,3352.50638,15514.91763,NA,NA
"Large Lakes","Skeena","Smsr.40",31154.84848,26535.07332,13371.30793,56005.68798,NA,NA
"Lower Nass","Nass","Smsr.40",7869.28233,5106.31359,1393.91546,18558.9673,NA,NA
"Lower Skeena","Skeena","Smsr.40",5002.2575,4413.70296,2096.20783,8698.63021,NA,NA
"Middle Skeena","Skeena","Smsr.40",12656.26066,10646.66441,5406.92173,22656.84766,NA,NA
"Nass Aggregate","Nass","Smsr.40",18267.39622,15544.15534,8546.25595,31869.68382,NA,NA
"Skeena Aggregate","Skeena","Smsr.40",73822.25412,65889.55083,32383.80712,127454.56153,NA,NA
"Upper Nass","Nass","Smsr.40",15803.76082,13698.79018,7240.07971,27451.73002,NA,NA
"Upper Skeena","Skeena","Smsr.40",6280.7445,4449.88416,1906.17366,13572.92181,NA,NA
"Zymoetz","Skeena","Smsr.40",3531.18239,2931.56935,1446.47837,6574.76149,NA,NA
"Kitsumkalum","Skeena","Smsy",7455.77541,6788.98575,4846.84217,10876.59818,NA,NA
"Large Lakes","Skeena","Smsy",29977.7375,26702.59367,17267.02907,47134.86926,NA,NA
"Lower Nass","Nass","Smsy",6522.66637,3793.3871,1488.99339,15170.20062,NA,NA
"Lower Skeena","Skeena","Smsy",3530.26926,3198.79947,2049.00725,5488.69436,NA,NA
"Middle Skeena","Skeena","Smsy",12580.42783,11153.77495,7194.60826,19938.00153,NA,NA
"Nass Aggregate","Nass","Smsy",16907.15995,15589.9778,11404.34328,24151.83499,NA,NA
"Skeena Aggregate","Skeena","Smsy",67585.08662,62654.2764,39420.93468,103374.07149,NA,NA
"Upper Nass","Nass","Smsy",14102.00678,13031.8651,9328.30652,20299.72131,NA,NA
"Upper Skeena","Skeena","Smsy",6522.9109,4944.77189,2645.42483,12785.19623,NA,NA
"Zymoetz","Skeena","Smsy",2540.75515,2238.26573,1412.87615,4126.30402,NA,NA
"Kitsumkalum","Skeena","Smsy.80",5964.62033,5431.1886,3877.47373,8701.27855,NA,NA
"Large Lakes","Skeena","Smsy.80",23982.19,21362.07494,13813.62326,37707.89541,NA,NA
"Lower Nass","Nass","Smsy.80",5218.13309,3034.70968,1191.19471,12136.16049,NA,NA
"Lower Skeena","Skeena","Smsy.80",2824.21541,2559.03958,1639.2058,4390.95549,NA,NA
"Middle Skeena","Skeena","Smsy.80",10064.34226,8923.01996,5755.68661,15950.40123,NA,NA
"Nass Aggregate","Nass","Smsy.80",13525.72796,12471.98224,9123.47463,19321.46799,NA,NA
"Skeena Aggregate","Skeena","Smsy.80",54068.06929,50123.42112,31536.74775,82699.25719,NA,NA
"Upper Nass","Nass","Smsy.80",11281.60543,10425.49208,7462.64522,16239.77705,NA,NA
"Upper Skeena","Skeena","Smsy.80",5218.32872,3955.81751,2116.33987,10228.15698,NA,NA
"Zymoetz","Skeena","Smsy.80",2032.60412,1790.61259,1130.30092,3301.04322,NA,NA
"Kitsumkalum","Skeena","Umsy",0.42326,0.41273,0.2681,0.60125,NA,NA
"Large Lakes","Skeena","Umsy",0.42035,0.41085,0.31779,0.53958,NA,NA
"Lower Nass","Nass","Umsy",0.37306,0.35619,0.18096,0.59046,NA,NA
"Lower Skeena","Skeena","Umsy",0.31632,0.30759,0.2098,0.43856,NA,NA
"Middle Skeena","Skeena","Umsy",0.43489,0.42782,0.3251,0.55889,NA,NA
"Nass Aggregate","Nass","Umsy",0.41377,0.40587,0.293,0.54865,NA,NA
"Skeena Aggregate","Skeena","Umsy",0.39879,0.38736,0.30101,0.51442,NA,NA
"Upper Nass","Nass","Umsy",0.39706,0.3857,0.28847,0.52692,NA,NA
"Upper Skeena","Skeena","Umsy",0.47,0.47018,0.30222,0.64255,NA,NA
"Zymoetz","Skeena","Umsy",0.3255,0.32004,0.20161,0.45542,NA,NA
"Kitsumkalum","Skeena","alpha",2.71751,2.57279,1.78642,4.5753,317,1.0125
"Large Lakes","Skeena","alpha",2.65831,2.5598,2.01415,3.72551,2897,1.0001
"Lower Nass","Nass","alpha",2.41413,2.21785,1.46313,4.40692,3612,1.0002
"Lower Skeena","Skeena","alpha",2.02685,1.96438,1.5609,2.76157,3930,0.9997
"Middle Skeena","Skeena","alpha",2.77381,2.68084,2.05093,3.9644,3299,1.0006
"Nass Aggregate","Nass","alpha",2.61988,2.52573,1.89595,3.835,1857,1.0004
"Skeena Aggregate","Skeena","alpha",2.50677,2.40448,1.93311,3.44469,2493,1.0004
"Upper Nass","Nass","alpha",2.49884,2.394,1.87537,3.58016,1582,1.0025
"Upper Skeena","Skeena","alpha",3.13007,3.02044,1.9388,5.31916,2536,1.0004
"Zymoetz","Skeena","alpha",2.07779,2.02541,1.5323,2.89554,5504,0.9999
"Kitsumkalum","Skeena","beta",1.02745,6e-05,3e-05,0.00012,346,1.0134
"Large Lakes","Skeena","beta",1.1243,2e-05,1e-05,3e-05,3246,1.0007
"Lower Nass","Nass","beta",1.00653,8e-05,2e-05,0.00029,3346,1.0008
"Lower Skeena","Skeena","beta",1.1946,9e-05,5e-05,0.00019,4864,1.0001
"Middle Skeena","Skeena","beta",1.10849,4e-05,2e-05,7e-05,4191,1.0003
"Nass Aggregate","Nass","beta",0.87764,3e-05,1e-05,5e-05,3091,1.0019
"Skeena Aggregate","Skeena","beta",1.04743,1e-05,0,1e-05,2077,1.0017
"Upper Nass","Nass","beta",0.84138,3e-05,1e-05,6e-05,1782,1.005
"Upper Skeena","Skeena","beta",1.0791,9e-05,3e-05,0.00021,1948,1.0011
"Zymoetz","Skeena","beta",1.26405,0.00014,6e-05,0.00028,6077,1.0002
"Kitsumkalum","Skeena","phi",7e-05,0.07348,-0.09134,0.40336,193,1.0196
"Large Lakes","Skeena","phi",2e-05,0.01478,-0.19937,0.24533,2658,1.0002
"Lower Nass","Nass","phi",0.00012,0.64718,0.2419,0.89881,2118,1.0031
"Lower Skeena","Skeena","phi",0.00011,0.0028,-0.2018,0.21027,3641,0.9998
"Middle Skeena","Skeena","phi",4e-05,0.14064,-0.08251,0.48204,2449,1.001
"Nass Aggregate","Nass","phi",3e-05,0.01008,-0.1477,0.24616,1992,1.0001
"Skeena Aggregate","Skeena","phi",1e-05,0.0413,-0.15637,0.32877,2310,1.0003
"Upper Nass","Nass","phi",3e-05,-0.00579,-0.22902,0.14244,1522,1.0023
"Upper Skeena","Skeena","phi",0.00011,0.59089,0.25944,0.84908,1444,1.001
"Zymoetz","Skeena","phi",0.00016,0.07623,-0.08962,0.37489,5314,1
"Kitsumkalum","Skeena","sigma",0.11508,1.02684,0.90599,1.14591,1272,1.0039
"Large Lakes","Skeena","sigma",0.01766,1.1235,1.00693,1.24391,1436,1.0029
"Lower Nass","Nass","sigma",0.60668,1.00348,0.88403,1.13228,908,1.0104
"Lower Skeena","Skeena","sigma",0.00285,1.19155,1.07475,1.32012,2786,0.9999
"Middle Skeena","Skeena","sigma",0.17261,1.10435,0.99449,1.22827,964,1.0043
"Nass Aggregate","Nass","sigma",0.0297,0.87593,0.76938,0.98876,2365,1.0006
"Skeena Aggregate","Skeena","sigma",0.06475,1.04752,0.92749,1.167,1254,1.003
"Upper Nass","Nass","sigma",-0.02332,0.8403,0.7261,0.95818,1893,1.003
"Upper Skeena","Skeena","sigma",0.56925,1.08435,0.93795,1.21412,1692,1.0027
"Zymoetz","Skeena","sigma",0.10972,1.25882,1.14289,1.39225,4283,1.0008
